1,gaurav sharma,gs@gmail.com,Support engineer
2,sachin toka,st@yahoo.com,manager
3,AARON Smith,arn@gmail.com,Support engineer
4,DEANDRE Johnson,dj@rediff.com,team leader
5,LANNY Williams,lanw@yahoo.com,technical leader
6,CASEY Jones,casj@mit.edu,Support engineer
7,GONZALO Brown,gb@gmail.com,Support engineer
8,KELLEY Davis,kelld@rediff.com,Support engineer
9,CARROL Miller,crm@mit.edu,Support engineer
10,JOESPH Wilson,jw@gmail.com,Support engineer
11,JAMEY,jmy@yahoo.com,Support engineer
12,ALONZO,alo@gmail.com,Support engineer
13,ERICH,er@mit.edu,Support engineer
14,AHMED,a@arn.com,Director
15,FRANCISCO,frna@alsd.edu,asda
16,HORACE,horac@gm.com,sadfnjmk
17,EDGAR,edg@gmail.com,MANAGER
18,ADRIAN,adr@yahoo.com,MANAGER
19,Kedar,kedar@yahoo.com,Senior MANAGER
20,Pratyush ranjan,pratyush2793@gmail.com,product developer engineer
21,Ritesh kumar,ritesh@gmail.com,product developer engineer
